"번호","과목","분류코드","난이도","문제","이미지","보기1","보기2","보기3","보기4","보기5","정답","해설"
"1","보관하역론","BH01","중","한 물류센터는 품목별 고정 보관위치를 두지 않고 입고 시점의 빈 로케이션에 상품을 배치한다. WMS가 각 상품의 위치를 실시간으로 관리할 때 적용한 보관방식은?","","지정위치보관","구역보관","등급별보관","자유위치보관","품목군보관","4","자유위치보관은 입고 시 사용 가능한 빈 위치에 상품을 배치하고 정보시스템으로 위치를 관리하는 방식이다. 지정위치보관은 품목마다 미리 정한 장소를 사용하므로 공간 활용의 원리가 다르다."
"2","보관하역론","BH02","하","입고된 상품을 장기간 저장하지 않고 도착 즉시 점포별로 분류하여 출고 차량에 옮기는 운영방식은?","","Stock Point","Break-Bulk","Cross-Docking","Order Picking","Cycle Counting","3","Cross-Docking은 입고화물을 보관단계에 오래 머물게 하지 않고 분류·재편성하여 곧바로 출고하는 방식이다. Break-Bulk은 대량화물을 소량 단위로 나누는 활동이고 Order Picking은 주문별 상품 인출작업이다."
"3","보관하역론","BH04","중","세 품목의 연간수요량과 단가가 각각 A품목 100개·50,000원, B품목 800개·6,000원, C품목 5,000개·800원이다. 연간사용금액이 큰 순서로 올바르게 나열한 것은?","","A－B－C","A－C－B","B－A－C","B－C－A","C－B－A","1","연간사용금액은 연간수요량과 단가의 곱이다. A는 5,000,000원, B는 4,800,000원, C는 4,000,000원이므로 A－B－C 순이다. ABC분석에서는 일반적으로 연간사용금액이 큰 품목을 우선 관리한다."
"4","보관하역론","BH01","하","유통기한이 있는 의약품을 출고할 때 입고일보다 사용기한이 먼저 도래하는 로트를 우선 피킹하는 원칙은?","","LIFO","고정위치 원칙","근거리 우선 원칙","대량출고 우선 원칙","FEFO","5","FEFO(First Expired, First Out)는 유효기간 또는 사용기한이 먼저 끝나는 재고를 먼저 출고하는 원칙이다. FIFO는 입고순서를 기준으로 하므로 유효기간이 서로 다른 상품에서는 FEFO와 결과가 달라질 수 있다."
"5","보관하역론","BH03","중","여러 주문에 공통으로 포함된 상품을 총수량만큼 한 번에 피킹한 뒤 분류공정에서 주문별로 나누려고 한다. 가장 적합한 피킹방식은?","","단일주문피킹","일괄피킹","존피킹","클러스터피킹","웨이브피킹","2","일괄피킹(Batch Picking)은 여러 주문의 동일 품목을 합산해 한 번에 피킹한 후 주문별로 분류한다. 클러스터피킹은 피킹 단계에서 여러 주문용기에 동시에 나누어 담는 방식이므로 후속 분류를 전제로 하는 일괄피킹과 구별된다."
"6","보관하역론","BH03","중","입고장과 출고장을 건물의 같은 면에 배치하고 내부에서 상품이 돌아 나오는 동선을 계획하였다. 제한된 도크 전면을 공동으로 활용하기에 적합한 기본 배치형태는?","","I자형 흐름","L자형 흐름","직교형 흐름","U자형 흐름","다층 순환형 흐름","4","U자형 흐름은 입고장과 출고장이 같은 건물 면에 있어 도크와 인력을 탄력적으로 공유할 수 있다. I자형은 입고와 출고가 서로 반대쪽에 배치되어 상품이 직선으로 이동한다."
"7","보관하역론","BH02","중","랙의 기둥과 보가 창고의 지붕과 외벽 하중까지 지지하여 랙과 건축물이 일체로 시공되는 자동창고 구조는?","","빌딩 랙","유닛 랙","드라이브인 랙","모빌 랙","플로 랙","1","빌딩 랙(Building Rack)은 랙 구조체가 보관기능뿐 아니라 지붕과 외벽 등 건축물의 하중도 지지한다. 유닛 랙은 독립된 창고 건물 내부에 설치되는 일반적인 랙 구조이다."
"8","보관하역론","BH04","중","어느 부품의 일평균 수요가 40개이고 조달리드타임이 5일이며 안전재고가 100개이다. 수요와 리드타임이 일정할 때 재주문점은?","","200개","250개","300개","400개","500개","3","재주문점은 리드타임 중 예상수요와 안전재고의 합이다. 40개×5일+100개=300개이므로 ③이 옳다."
"9","보관하역론","BH03","중","그림에서 대안 A는 고정비가 높지만 물동량 증가에 따른 비용 상승폭이 작고, 대안 B는 고정비가 낮지만 비용 상승폭이 크다. 두 총비용선의 교차점을 기준으로 한 판단으로 옳은 것은?","images/questions/logistics/27회-2/q009.png","교차점에서도 대안 A의 총비용이 더 낮다.","물동량이 적을수록 기울기가 작은 대안 A가 항상 유리하다.","물동량이 많을수록 고정비가 낮은 대안 B가 항상 유리하다.","물동량 수준과 관계없이 두 대안의 비용 차이는 일정하다.","교차점보다 낮은 물동량에서는 B가, 높은 물동량에서는 A가 유리하다.","5","교차점에서는 두 대안의 총비용이 같다. 그보다 낮은 물동량에서는 초기비용이 낮은 B가 유리하고, 높은 물동량에서는 변동비 기울기가 작은 A가 유리하다."
"10","보관하역론","BH02","중","그림의 이동식 랙을 고정식 선택형 랙과 비교할 때 나타나는 일반적인 특성으로 가장 적절한 것은?","images/questions/logistics/27회-2/q010.png","모든 랙 사이에 통로를 항상 확보하므로 접근성이 가장 높다.","통로 수를 줄여 공간효율을 높이지만 여러 통로의 동시작업에는 제약이 있다.","중력 롤러로 팔레트가 이동하므로 선입선출이 자동으로 이루어진다.","랙 내부로 지게차가 진입하므로 동일품목 대량보관에만 사용할 수 있다.","랙을 천장에 매달아 바닥하중을 없애는 것이 핵심이다.","2","이동식 랙은 필요한 통로만 열고 나머지 랙을 밀집시켜 높은 보관밀도를 얻는다. 다만 한 번에 개방할 수 있는 통로가 제한되어 동시 피킹이 많은 환경에서는 불리할 수 있다. 중력 롤러를 사용하는 것은 플로 랙의 특징이다."
"11","보관하역론","BH04","중","A등급 재고는 매월, B등급은 분기마다, C등급은 반기마다 일부 로케이션을 골라 실사하고 장부수량을 조정하려 한다. 전체 창고의 운영을 중단하지 않고 수행하는 이 방식은?","","일제재고조사","역산재고관리","기준재고관리","무재고관리","순환실사","5","순환실사(Cycle Counting)는 품목을 등급이나 일정에 따라 나누어 반복적으로 실사하는 방식이다. 일제재고조사는 특정 시점에 전체 품목을 한꺼번에 조사하므로 운영중단 부담이 상대적으로 크다."
"12","보관하역론","BH01","중","냉동식품 창고에서 입고도크와 보관구역 사이의 온도상승 및 결로를 줄이기 위한 설계로 가장 적절한 것은?","","입고문을 계속 열어 외기와 내부온도를 같게 유지한다.","상품 회전율과 관계없이 모든 구역을 동일 온도로 운전한다.","전실과 도크실을 두고 문 개방시간 및 구역별 온도를 지속적으로 관리한다.","냉동구역의 공기순환을 차단하여 냉기가 움직이지 않게 한다.","결로가 발생하면 포장재만 교체하고 시설조건은 유지한다.","3","전실과 도크실은 외기의 직접 유입을 줄이며 문 개방관리와 연속 온도감시는 콜드체인 유지에 중요하다. 공기순환 차단이나 상시 개문은 온도편차와 결로를 악화시킬 수 있다."
"13","보관하역론","BH02","중","WMS에서 생성한 작업지시를 받아 컨베이어·자동분류기·스태커 크레인과 같은 설비의 동작을 실시간으로 제어하는 시스템은?","","ERP","OMS","TMS","WCS","CRM","4","WCS(Warehouse Control System)는 상위 시스템의 작업지시를 설비 제어명령으로 변환하고 자동화 장비의 상태와 흐름을 관리한다. WMS는 재고와 작업계획을 관리하고 TMS는 배차·운송경로 등을 관리한다."
