번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
1,물류관리론,LM01,하,A기업이 물류 부문의 관리항목을 선정하고 있다. 다음 중 일반적인 물류관리의 직접적인 관리대상으로 보기 가장 어려운 것은?,,고객에 대한 물류서비스 수준 관리,재고수준과 재고보충 관리,전사 직원의 승진심사를 위한 인사평가 관리,고객주문의 접수 및 처리정보 관리,운송수단과 배송활동 관리,3,물류관리는 운송·보관·하역·포장·재고·주문정보·고객서비스 등 재화의 흐름과 이를 지원하는 활동을 관리한다. 전사 직원의 승진을 위한 인사평가는 인적자원관리의 영역으로 물류관리의 직접적인 대상이라고 보기 어렵다.
2,물류관리론,LM01,하,스마이키(E. W. Smykay)가 제시한 물류서비스의 7R 원칙을 적용하여 목표를 설정하려 한다. 다음 중 7R의 구성요소에 해당하지 않는 것은?,,Right Commodity,Right Quantity,Right Price,Right Place,Right Safety,5,물류의 7R은 Right Commodity·Right Quantity·Right Quality·Right Price·Right Time·Right Place·Right Impression으로 구성된다. Right Safety는 7R의 구성요소가 아니다.
3,물류관리론,LM02,중,신제품 A는 시장에 출시된 지 얼마 되지 않아 판매량이 아직 낮고 수요예측의 불확실성이 크다. 기업은 시장 인지도를 높이는 동시에 수요변화에 탄력적으로 대응할 수 있는 물류체계를 운영하려 한다. 제품수명주기상 A제품이 속한 단계로 가장 적절한 것은?,,성장기,도입기,성숙기,쇠퇴기,안정기,2,제품수명주기는 일반적으로 도입기-성장기-성숙기-쇠퇴기의 흐름으로 구분한다. 신제품이 시장에 처음 진입하여 판매량이 낮고 수요의 불확실성이 큰 단계는 도입기이다.
4,물류관리론,LM02,중,물류서비스를 거래 이전·거래 중·거래 이후 단계로 구분할 때 거래가 실제로 진행되는 과정에서 관리하는 요소로 가장 적절한 것은?,,고객서비스 정책의 사전 명문화,예외상황에 대응하기 위한 시스템의 유연성 확보,판매 이후 발생한 고객불만과 클레임의 처리,주문과정의 편리성과 주문정보 처리의 정확성,반품 및 사후서비스 절차의 운영,4,거래 중 물류서비스에는 주문의 편리성 및 주문처리 과정의 정확성 등 실제 주문과 배송이 진행되는 과정에서 고객이 경험하는 요소가 포함된다. 고객서비스 정책과 시스템 유연성은 주로 거래 이전 요소이며 고객불만·반품처리는 거래 이후 요소에 해당한다.
5,물류관리론,LM01,하,A기업은 물류활동을 원재료의 조달·생산과정의 내부 이동·고객에 대한 출하·반품 및 회수의 흐름에 따라 구분하고 있다. 다음 중 이러한 영역별 물류 분류와 성격이 다른 것은?,,정보물류,조달물류,사내물류,판매물류,회수물류,1,물류를 물자의 흐름 영역에 따라 구분하면 조달물류·생산과정에서 이루어지는 사내물류·판매물류·회수물류 등으로 나눌 수 있다. 정보물류는 각 영역의 물적 흐름을 지원하는 정보활동에 따른 분류이므로 성격이 다르다.
6,물류관리론,LM01,중,온라인 쇼핑과 모바일 주문이 확대되는 상황에서 물류관리의 중요성에 관한 설명으로 가장 적절한 것은?,,전자상거래가 확대될수록 소비자가 직접 상품을 수령하므로 배송활동의 필요성은 감소한다.,소량·다빈도 주문과 개별배송 및 반품이 증가할 수 있으므로 물류관리의 중요성이 커질 수 있다.,온라인 판매에서는 재고를 보유할 필요가 없어지므로 재고관리 기능이 사라진다.,전자상거래에서는 주문정보가 자동으로 처리되므로 물류정보시스템의 필요성이 낮아진다.,온라인 거래가 증가하면 고객서비스와 배송품질은 기업경쟁력과 관계가 없어진다.,2,전자상거래의 확대는 소량·다빈도 주문·개별배송·신속배송·반품 및 회수물류 등의 증가로 이어질 수 있다. 따라서 운송·재고·주문정보·회수물류를 효율적으로 관리하는 물류관리의 중요성이 오히려 커진다.
7,물류관리론,LM01,중,최근 물류환경의 변화와 기업의 대응을 연결한 것으로 가장 적절하지 않은 것은?,,도시지역의 소비집중은 신속한 배송을 위한 도심 인근 물류거점의 중요성을 높일 수 있다.,정보기술과 자동화기술의 발전은 주문처리 및 재고관리의 효율성을 높이는 데 활용될 수 있다.,친환경 정책의 강화는 운송과 물류시설에서 에너지 사용 및 탄소배출을 줄이는 방향의 변화를 촉진할 수 있다.,소비자 욕구가 다양해질수록 표준화된 소품종 대량생산 중심의 대응이 더욱 효과적이다.,제품수명주기가 짧아지면 기업은 과잉재고 위험을 낮추기 위해 재고 및 수요관리의 신속성을 높일 필요가 있다.,4,소비자 욕구가 다양해지면 다품종·소량화 및 맞춤형 수요에 대응해야 할 필요성이 커진다. 따라서 표준화된 소품종 대량생산 중심의 대응이 더욱 효과적이라고 보기는 어렵다.
8,물류관리론,LM02,중,한 유통기업이 상품가격·광고비·고객수 등의 변수가 판매수요에 미치는 영향을 분석하고 이들 변수와 수요 사이의 통계적 관계를 이용하여 향후 수요를 예측하려 한다. 가장 적합한 예측기법은?,,회귀분석법,지수평활법,이동평균법,델파이법,시계열분해법,1,회귀분석은 하나 이상의 독립변수가 종속변수에 미치는 영향을 통계적으로 추정하고 변수 사이의 함수관계를 이용하여 수요 등을 예측하는 인과형 예측기법이다.
9,물류관리론,LM02,중,물류와 마케팅의 상호관계에 관한 설명으로 가장 적절하지 않은 것은?,,마케팅을 통해 창출된 수요를 실제 제품의 이동과 공급으로 충족시키는 과정에서 물류기능이 중요하다.,마케팅믹스의 Place는 유통경로 및 상품의 접근성과 관련되어 있어 물류와 밀접한 관계가 있다.,재고 및 배송능력은 기업이 고객에게 약속할 수 있는 서비스 수준에 영향을 줄 수 있다.,운송과 재고정책은 고객서비스 수준과 판매활동의 성과에도 영향을 미칠 수 있다.,물류역량이 충분한 기업이라면 판매계획이나 수요정보를 물류계획과 연계할 필요가 없다.,5,물류와 마케팅은 서로 독립적으로 운영되는 기능이 아니다. 판매계획과 수요정보는 재고·운송·배송계획 등에 영향을 주므로 두 기능의 정보와 계획을 연계하는 것이 중요하다.
10,물류관리론,LM02,중,A기업은 영업부서가 판매활동에 집중하고 상품의 보관·운송·배송은 별도의 물류조직이 통합하여 담당하도록 조직을 개편하였다. 이러한 상물분리의 효과로 기대하기 가장 어려운 것은?,,영업조직과 물류조직의 전문성을 높일 수 있다.,물동량을 통합하여 규모의 경제를 활용할 가능성이 커진다.,각 영업소가 개별적으로 소규모 배송을 수행하는 비중을 높여 배송망을 분산시킬 수 있다.,물량을 집중함으로써 차량의 적재효율을 높일 수 있다.,대규모 물류시설의 기계화와 자동화를 추진하기에 유리할 수 있다.,3,상물분리는 거래를 담당하는 영업기능과 상품의 물리적 이동을 담당하는 물류기능을 분리하여 전문화하는 방식이다. 물류기능을 집중하면 공동화·대량화에 따른 규모의 경제·적재효율 향상·물류시설의 기계화와 자동화 등을 기대할 수 있다. 영업소별 개별배송을 확대하는 것은 이러한 방향과 거리가 있다.
